2024-07-07T23:36:42.513+07:00Z&{"id": "7d80e4e0","data": "ht120;v|62,24,12,22,31,0.12,"};
2024-07-07T23:41:45.406+07:00Z&2193;2194;
2024-07-07T23:46:48.539+07:00Z&2193;2194;
2024-07-07T23:51:51.686+07:00Z&2193;2194;
2024-07-07T23:56:54.838+07:00Z&2193;2194;
2024-07-08T00:01:58.122+07:00Z&2193;2194;
2024-07-08T00:07:01.136+07:00Z&2193;2194;
2024-07-08T00:12:04.281+07:00Z&2193;2194;
2024-07-08T00:17:07.426+07:00Z&2193;2194;
2024-07-08T00:22:10.576+07:00Z&2193;2194;
2024-07-08T00:27:13.731+07:00Z&2193;2194;
2024-07-08T00:32:16.878+07:00Z&2193;2194;
2024-07-08T00:37:20.021+07:00Z&2193;2194;
2024-07-08T00:42:23.176+07:00Z&2193;2194;
2024-07-08T00:47:26.321+07:00Z&2193;2194;
2024-07-08T00:52:29.474+07:00Z&2193;2194;
2024-07-08T00:57:32.613+07:00Z&2193;2194;
2024-07-08T01:02:35.766+07:00Z&2193;2194;
2024-07-08T01:07:38.914+07:00Z&2193;2194;
2024-07-08T01:12:42.061+07:00Z&2193;2194;
2024-07-08T01:17:45.211+07:00Z&2193;2194;
2024-07-08T01:22:48.353+07:00Z&2193;2194;
2024-07-08T01:27:51.506+07:00Z&2193;2194;
2024-07-08T01:32:54.646+07:00Z&2193;2194;
2024-07-08T01:37:57.799+07:00Z&2193;2194;
2024-07-08T01:43:00.946+07:00Z&2193;2194;
2024-07-08T01:48:04.118+07:00Z&2193;2194;
2024-07-08T01:53:07.240+07:00Z&2193;2194;
2024-07-08T01:58:10.388+07:00Z&2193;2194;
2024-07-08T02:03:13.537+07:00Z&2193;2194;
2024-07-08T02:08:16.689+07:00Z&2193;2194;
2024-07-08T02:13:19.839+07:00Z&2193;2194;
2024-07-08T02:18:22.985+07:00Z&2193;2194;
2024-07-08T02:23:26.124+07:00Z&2193;2194;
2024-07-08T02:28:29.273+07:00Z&2193;2194;
2024-07-08T02:33:32.423+07:00Z&2193;2194;
2024-07-08T02:38:35.567+07:00Z&2193;2194;
2024-07-08T02:43:38.715+07:00Z&2193;2194;
2024-07-08T02:48:41.863+07:00Z&2193;2194;
