timestamp,message
Timestamp,Message
11:20:42,"{""id"": ""c1151e2a"",""data"": ""ht120v3alo|69,28,18,26,49,2.10,101,20,-7.357239484260529,108.22327851230389""}"
11:25:20,"{""id"": ""c1151e2a"",""data"": ""ht120v3alo|69,28,18,26,49,2.10,101,20,-7.357239484260529,108.22327851230389""}"
11:41:36,"{""id"": ""47c140cb"",""data"": ""ht120v3alo|69,28,18,26,49,2.10,101,20,-7.357239484260529,108.22327851230389""}"
11:45:28,"{""id"": ""bd950176"",""data"": ""ht120v3alo|69,28,18,26,49,2.10,101,20,-7.320662,108.113914""}"
11:46:7,"{""id"": ""bd950176"",""data"": ""ht120v3alo|69,28,18,26,49,2.10,101,20,-7.338394,108.188976""}"
11:48:11,"{""id"": ""bd950176"",""data"": ""ht120v3alo|69,28,18,26,49,2.10,101,20,-7.338394,108.188976""}"
11:49:55,"{""id"": ""1e485c3b"",""data"": ""ht120v3alo|69,28,18,26,49,2.10,101,20,-7.338394,108.188976""}"
11:52:32,"{""id"": ""47c140cb"",""data"": ""ht120v3alo|69,28,18,26,49,2.10,101,20,-7.326674,108.224593""}"
